EVENT_TIMESTAMP,EVENT_ID,EVENT_TYPE,USER_NAME,CLIENT_IP,REPORTED_CLIENT_TYPE,REPORTED_CLIENT_VERSION,FIRST_AUTHENTICATION_FACTOR,SECOND_AUTHENTICATION_FACTOR,IS_SUCCESS,ERROR_CODE,ERROR_MESSAGE,RELATED_EVENT_ID,CONNECTION
2022-05-20 04:30:31.556 -0700,"19008919681871362",LOGIN,SMP1013,183.82.24.103,OTHER,"",SAML2_ASSERTION,,YES,,,,
2022-05-20 04:30:31.557 -0700,"19008919681871798",LOGIN,SMP1013,183.82.24.103,SNOWFLAKE_UI,"20220519174133",SAML2_ASSERTION,,YES,,,,
