WAREHOUSE_NAME,STATE,TYPE,SIZE,MIN_CLUSTER_COUNT,MAX_CLUSTER_COUNT,STARTED_CLUSTERS,RUNNING,QUEUED,IS_DEFAULT,IS_CURRENT,AUTO_SUSPEND,AUTO_RESUME,AVAILABLE,PROVISIONING,QUIESCING,OTHER,CREATED_ON,RESUMED_ON,UPDATED_ON,OWNER,COMMENT,RESOURCE_MONITOR,ACTIVES,PENDINGS,FAILED,SUSPENDED,UUID,SCALING_POLICY
DEV_INGEST_WH,SUSPENDED,STANDARD,Large,1,10,0,0,0,N,Y,60,TRUE,,,,,11:51.3,05:29.9,05:29.9,CASPIAN_AUTOMATION,RAW Ingestion,null,0,0,0,8,1133020100,STANDARD
DEV_ACQUISITION_WH,STARTED,STANDARD,Small,1,1,1,0,0,N,Y,300,TRUE,100,0,0,0,11:51.4,51:30.3,51:30.3,CASPIAN_AUTOMATION,Attunity team,null,2,0,0,0,1133020112,STANDARD
